name,prefix_type,name_IAST
svasTI,cvi,svasthī
svAgatI,cvi,svāgatī
svAdU,cvi,svādū
svAyattI,cvi,svāyattī
svI,cvi,svī
hastI,cvi,hastī
haste,other,haste
himI,cvi,himī
huM,other,huṃ
hetU,cvi,hetū
