root,hom,class,voice,root_IAST
sfmB,,1,para,sṛmbh
sF,,9,para,sṝ
sek,,1,atma,sek
senaya,,denom,para,senaya
sev,,1,atma,sev
sE,,1,para,sai
so,1,4,para,so
sowAya,,denom,atma,soṭāya
soQAya,,denom,atma,soḍhāya
sODAya,,denom,atma,saudhāya
skand,,1,para,skand
skanD,,10,para,skandh
skaB,,5,para,skabh
skaB,,9,para,skabh
skaB,,1,atma,skabh
skamB,,5,para,skambh
skamB,,9,para,skambh
skamB,,1,atma,skambh
sku,,5,para,sku
sku,,9,para,sku
skund,,1,atma,skund
skumB,,5,para,skumbh
skumB,,9,para,skumbh
sKad,,1,atma,skhad
sKal,,1,para,skhal
stak,,1,para,stak
stan,,1,para,stan
stabakaya,,denom,para,stabakaya
staB,,5,para,stabh
staB,,9,para,stabh
staB,,1,atma,stabh
stam,1,1,para,stam
stam,1,10,para,stam
stambakAya,,denom,atma,stambakāya
stamB,,5,para,stambh
stamB,,9,para,stambh
stamB,,1,atma,stambh
stiG,,5,para,stigh
stip,,1,atma,stip
stim,,4,para,stim
stimitaya,,denom,para,stimitaya
stIm,,4,para,stīm
stu,1,2,para,stu
stuc,,1,atma,stuc
stuB,1,1,para,stubh
stuB,1,1,atma,stubh
stumB,,5,para,stumbh
stumB,,9,para,stumbh
stUp,,4,para,stūp
stUp,,10,para,stūp
stf,1,5,para,stṛ
stf,1,9,para,stṛ
stfkz,,1,para,stṛkṣ
stfh,,6,para,stṛh
stF,1,5,para,stṝ
stF,1,9,para,stṝ
stFh,,6,para,stṝh
sten,,10,para,sten
step,,1,atma,step
step,,10,para,step
stE,,1,para,stai
stotraya,,denom,para,stotraya
stomaya,,denom,para,stomaya
styE,,1,para,styai
styE,,1,atma,styai
strIya,,denom,para,strīya
sTag,,1,para,sthag
sTapuwaya,,denom,para,sthapuṭaya
sTal,,1,para,sthal
sTalaya,,denom,para,sthalaya
sTalAya,,denom,atma,sthalāya
sTalIya,1,denom,para,sthalīya
sTavirAya,,denom,atma,sthavirāya
sTA,1,1,para,sthā
sTir,,1,para,sthir
sTiraya,,denom,para,sthiraya
sTirAya,,denom,para,sthirāya
sTuq,,6,para,sthuḍ
sTUl,,10,atma,sthūl
snA,1,2,para,snā
snA,1,4,para,snā
sniw,,10,para,sniṭ
snih,1,4,para,snih
snih,1,1,para,snih
snih,1,10,para,snih
snu,1,2,para,snu
snuc,,1,atma,snuc
snus,,4,para,snus
snuh,1,4,para,snuh
snE,,1,para,snai
spand,,1,atma,spand
sparD,,1,atma,spardh
sparz,,1,atma,sparṣ
spaS,3,1,para,spaś
spaS,4,10,para,spaś
spazwaya,,denom,para,spaṣṭaya
spf,1,5,para,spṛ
spfD,,1,atma,spṛdh
spfS,1,6,para,spṛś
spfh,1,10,para,spṛh
spF,,9,para,spṝ
sPaw,,1,para,sphaṭ
sPaw,,10,para,sphaṭ
sPaRq,,10,para,sphaṇḍ
sPar,,6,para,sphar
sPal,,1,para,sphal
sPAy,,1,atma,sphāy
sPiw,,10,para,sphiṭ
sPiww,,10,para,sphiṭṭ
sPuw,,6,para,sphuṭ
sPuw,,1,para,sphuṭ
sPuww,,10,para,sphuṭṭ
sPuq,,6,para,sphuḍ
sPuRw,,1,para,sphuṇṭ
sPuRw,,10,para,sphuṇṭ
sPuRq,,1,atma,sphuṇḍ
sPuRq,,10,para,sphuṇḍ
sPur,1,6,para,sphur
sPul,,6,para,sphul
sPuliNgAya,,denom,atma,sphuliṅgāya
sPUrC,,1,para,sphūrch
sPUrj,,1,para,sphūrj
smi,,1,atma,smi
smiw,,10,para,smiṭ
smf,2,1,para,smṛ
syad,,1,atma,syad
syand,,1,atma,syand
syam,,1,para,syam
syam,,10,para,syam
syam,,10,atma,syam
sraMs,1,1,atma,sraṃs
sraMh,,1,atma,sraṃh
srajaya,,denom,para,srajaya
sras,1,1,atma,sras
sriD,1,1,para,sridh
sriB,,1,para,sribh
srimB,,1,para,srimbh
sriv,,4,para,sriv
srIv,,4,para,srīv
sru,,1,para,sru
srucaya,,denom,para,srucaya
srek,,1,atma,srek
srOGnIya,,denom,atma,sraughnīya
svaNg,,1,para,svaṅg
svaj,,1,atma,svaj
svaYj,,1,atma,svañj
svad,,1,atma,svad
svaDaya,,denom,para,svadhaya
svan,1,1,para,svan
svap,1,2,para,svap
svapnAya,,denom,atma,svapnāya
svar,1,10,para,svar
svar,2,1,para,svar
svargaya,,denom,atma,svargaya
svard,,1,atma,svard
svAd,,1,atma,svād
svApakIya,,denom,para,svāpakīya
svApaya,,denom,para,svāpaya
svAya,,denom,atma,svāya
svid,2,1,atma,svid
svf,,1,para,svṛ
haMsAya,,denom,atma,haṃsāya
hakkaya,,denom,para,hakkaya
haw,,1,para,haṭ
haW,,1,para,haṭh
had,,1,para,had
han,1,2,para,han
hananIya,2,denom,para,hananīya
hamBAya,,denom,atma,hambhāya
hamm,,1,para,hamm
hay,,1,para,hay
hariRAya,,denom,atma,hariṇāya
haritAya,,denom,atma,haritāya
hary,,1,para,hary
harzAya,,denom,atma,harṣāya
hal,1,1,para,hal
halaya,,denom,para,halaya
has,1,1,para,has
hA,2,3,atma,hā
hA,3,3,para,hā
hArAya,,denom,atma,hārāya
hi,1,5,para,hi
hiMs,1,1,para,hiṃs
hiMs,1,7,para,hiṃs
hiMs,1,10,para,hiṃs
hikk,,1,para,hikk
hiRq,,1,atma,hiṇḍ
hitAya,,denom,atma,hitāya
hindolaya,,denom,para,hindolaya
himAya,,denom,atma,himāya
hil,,6,para,hil
hillolaya,,denom,para,hillolaya
hu,1,3,para,hu
huq,,6,para,huḍ
huq,,1,para,huḍ
huRq,,1,atma,huṇḍ
hurC,,1,para,hurch
hul,,1,para,hul
hUq,,1,para,hūḍ
hUrC,,1,para,hūrch
hf,1,1,para,hṛ
hf,2,9,atma,hṛ
hfRIya,,denom,atma,hṛṇīya
hfz,,1,para,hṛṣ
hfz,,4,para,hṛṣ
hF,2,9,atma,hṝ
hew,,1,para,heṭ
hew,,9,para,heṭ
heW,,1,para,heṭh
heW,,9,para,heṭh
heW,,9,para,heṭh
heq,,1,atma,heḍ
heq,,1,para,heḍ
heQ,,9,para,heḍh
hemAya,,denom,atma,hemāya
heL,,1,atma,heL
heL,,1,para,heL
hez,1,1,atma,heṣ
hezAya,,denom,atma,heṣāya
hoq,,1,atma,hoḍ
hnu,,2,atma,hnu
hmal,,1,para,hmal
hrag,,1,para,hrag
hras,,1,para,hras
hrAd,,1,atma,hrād
hriRIya,,denom,atma,hriṇīya
hrI,1,3,para,hrī
hrIC,,1,para,hrīch
hru,,9,para,hru
hruq,,1,para,hruḍ
hrUq,,1,para,hrūḍ
hrep,,1,atma,hrep
hrez,,1,atma,hreṣ
hrOq,,1,para,hrauḍ
hlag,,1,atma,hlag
hlap,,10,para,hlap
hlas,,1,para,hlas
hlAd,,1,atma,hlād
hval,,1,para,hval
hvAyakIya,,denom,para,hvāyakīya
hvf,,1,para,hvṛ
hvF,,1,para,hvṝ
hve,,1,para,hve
