prefixed_root,unprefixed_root,hom,prefixed_root_IAST,unprefixed_root_IAST
pratiBakz,Bakz,,pratibhakṣ,bhakṣ
pratiBaj,Baj,,pratibhaj,bhaj
pratiBaYj,BaYj,,pratibhañj,bhañj
pratiBaR,BaR,,pratibhaṇ,bhaṇ
pratiBA,BA,,pratibhā,bhā
pratiBAz,BAz,,pratibhāṣ,bhāṣ
pratiBAs,BAs,,pratibhās,bhās
pratiBid,Bid,,pratibhid,bhid
pratiBuj,Buj,,pratibhuj,bhuj
pratiBU,BU,,pratibhū,bhū
pratiBUz,BUz,,pratibhūṣ,bhūṣ
pratiBf,Bf,,pratibhṛ,bhṛ
pratiman,man,,pratiman,man
pratimantr,mantr,,pratimantr,mantr
pratimA,mA,,pratimā,mā
pratimih,mih,,pratimih,mih
pratimIv,mIv,,pratimīv,mīv
pratimuc,muc,,pratimuc,muc
pratimud,mud,,pratimud,mud
pratiyaj,yaj,,pratiyaj,yaj
pratiyat,yat,,pratiyat,yat
pratiyam,yam,,pratiyam,yam
pratiyA,yA,,pratiyā,yā
pratiyu,yu,,pratiyu,yu
pratiyuj,yuj,,pratiyuj,yuj
pratiyuD,yuD,,pratiyudh,yudh
pratirakz,rakz,,pratirakṣ,rakṣ
pratirap,rap,,pratirap,rap
pratiram,ram,,pratiram,ram
pratiras,ras,,pratiras,ras
pratirAj,rAj,,pratirāj,rāj
pratirih,rih,,pratirih,rih
pratiru,ru,,pratiru,ru
pratiruc,ruc,,pratiruc,ruc
pratiruD,ruD,,pratirudh,rudh
pratiruh,ruh,,pratiruh,ruh
pratil,til,,pratil,til
pratilaB,laB,,pratilabh,labh
pratiliK,liK,,pratilikh,likh
prativac,vac,,prativac,vac
prativad,vad,,prativad,vad
prativap,vap,,prativap,vap
prativas,vas,,prativas,vas
prativas,vas,,prativas,vas
prativah,vah,,prativah,vah
prativAS,vAS,,prativāś,vāś
prativijYA,jYA,,prativijñā,jñā
prativid,vid,,prativid,vid
prativid,vid,,prativid,vid
prativiDA,DA,,pratividhā,dhā
prativinud,nud,,prativinud,nud
prativiparI,i,,prativiparī,i
prativibuD,buD,,prativibudh,budh
prativiram,ram,,prativiram,ram
prativisfj,sfj,,prativisṛj,sṛj
prativihA,hA,,prativihā,hā
prativI,vI,,prativī,vī
prativIkz,Ikz,,prativīkṣ,īkṣ
prativf,vf,,prativṛ,vṛ
prativfj,vfj,,prativṛj,vṛj
prativft,vft,,prativṛt,vṛt
prativfz,vfz,,prativṛṣ,vṛṣ
prativezw,vezw,,prativeṣṭ,veṣṭ
prativyaD,vyaD,,prativyadh,vyadh
prativyUh,vyUh,,prativyūh,vyūh
prativraj,vraj,,prativraj,vraj
pratiSaMs,SaMs,,pratiśaṃs,śaṃs
pratiSaNk,SaNk,,pratiśaṅk,śaṅk
pratiSap,Sap,,pratiśap,śap
pratiSuc,Suc,,pratiśuc,śuc
pratiSuz,Suz,,pratiśuṣ,śuṣ
pratiSF,SF,,pratiśṝ,śṝ
pratiSru,Sru,,pratiśru,śru
pratizaYj,saYj,,pratiṣañj,sañj
pratizic,sic,,pratiṣic,sic
pratiziD,siD,,pratiṣidh,sidh
pratiziv,siv,,pratiṣiv,siv
pratizkaB,skaB,,pratiṣkabh,skabh
pratizku,sku,,pratiṣku,sku
pratizwuB,stuB,,pratiṣṭubh,stubh
pratizWA,sTA,,pratiṣṭhā,sthā
pratizWiv,zWiv,,pratiṣṭhiv,ṣṭhiv
pratizvad,svad,,pratiṣvad,svad
pratisaMkram,kram,,pratisaṃkram,kram
pratisaMgrah,grah,,pratisaṃgrah,grah
pratisaMcar,car,,pratisaṃcar,car
pratisaMjYA,jYA,,pratisaṃjñā,jñā
pratisaMdiS,diS,,pratisaṃdiś,diś
pratisaMDA,DA,,pratisaṃdhā,dhā
pratisaMyat,yat,,pratisaṃyat,yat
pratisaMraB,raB,,pratisaṃrabh,rabh
pratisaMvad,vad,,pratisaṃvad,vad
pratisaMvid,vid,,pratisaṃvid,vid
pratisaMvezw,vezw,,pratisaṃveṣṭ,veṣṭ
pratisaMSri,Sri,,pratisaṃśri,śri
pratisaMsfj,sfj,,pratisaṃsṛj,sṛj
pratisaMskf,skf,,pratisaṃskṛ,skṛ
pratisaMsmf,smf,,pratisaṃsmṛ,smṛ
pratisaMhf,hf,,pratisaṃhṛ,hṛ
pratisaMhfz,hfz,,pratisaṃhṛṣ,hṛṣ
pratisac,sac,,pratisac,sac
pratisad,sad,,pratisad,sad
pratisamas,as,,pratisamas,as
pratisamAdiS,diS,,pratisamādiś,diś
pratisamADA,DA,,pratisamādhā,dhā
pratisamAs,As,,pratisamās,ās
pratisaminD,inD,,pratisamindh,indh
pratisamIkz,Ikz,,pratisamīkṣ,īkṣ
pratisamBU,BU,,pratisambhū,bhū
pratisah,sah,,pratisah,sah
pratisf,sf,,pratisṛ,sṛ
pratisfj,sfj,,pratisṛj,sṛj
pratisfp,sfp,,pratisṛp,sṛp
pratisev,sev,,pratisev,sev
pratiskF,kF,,pratiskṝ,kṝ
pratistamB,stamB,,pratistambh,stambh
pratisparD,sparD,,pratispardh,spardh
pratisPur,sPur,,pratisphur,sphur
pratismf,smf,,pratismṛ,smṛ
pratisvan,svan,,pratisvan,svan
pratihan,han,,pratihan,han
pratihary,hary,,pratihary,hary
pratihA,hA,,pratihā,hā
pratihu,hu,,pratihu,hu
pratihf,hf,,pratihṛ,hṛ
pratihfz,hfz,,pratihṛṣ,hṛṣ
pratihez,hez,,pratiheṣ,heṣ
pratihve,hve,,pratihve,hve
pratI,i,,pratī,i
pratIkz,Ikz,,pratīkṣ,īkṣ
pratIq,Iq,,pratīḍ,īḍ
pratInv,inv,,pratīnv,inv
pratIr,Ir,,pratīr,īr
pratIz,iz,,pratīṣ,iṣ
pratud,tud,,pratud,tud
pratuz,tuz,,pratuṣ,tuṣ
pratF,tF,,pratṝ,tṝ
pratyakzavizayIBU,BU,,pratyakṣaviṣayībhū,bhū
pratyaYj,aYj,,pratyañj,añj
pratyad,ad,,pratyad,ad
pratyaDiSri,Sri,,pratyadhiśri,śri
pratyaDI,i,,pratyadhī,i
pratyanujYA,jYA,,pratyanujñā,jñā
pratyanunI,nI,,pratyanunī,nī
pratyanuBU,BU,,pratyanubhū,bhū
pratyanuyAc,yAc,,pratyanuyāc,yāc
pratyanusmf,smf,,pratyanusmṛ,smṛ
pratyapayA,yA,,pratyapayā,yā
pratyapavah,vah,,pratyapavah,vah
pratyaporRu,UrRu,,pratyaporṇu,ūrṇu
pratyaBicar,car,,pratyabhicar,car
pratyaBijYA,jYA,,pratyabhijñā,jñā
pratyaBiDA,DA,1,pratyabhidhā,dhā
pratyaBiDAv,DAv,1,pratyabhidhāv,dhāv
pratyaBinand,nand,,pratyabhinand,nand
pratyaBiprasTA,sTA,,pratyabhiprasthā,sthā
pratyaBimiT,miT,,pratyabhimith,mith
pratyaBimfS,mfS,,pratyabhimṛś,mṛś
pratyaBiyA,yA,,pratyabhiyā,yā
pratyaBiyuj,yuj,,pratyabhiyuj,yuj
pratyaBivad,vad,,pratyabhivad,vad
pratyarc,arc,,pratyarc,arc
pratyarT,arT,,pratyarth,arth
pratyavagam,gam,,pratyavagam,gam
pratyavagrah,grah,,pratyavagrah,grah
pratyavatF,tF,,pratyavatṝ,tṝ
pratyavado,do,,pratyavado,do
pratyavaDA,DA,1,pratyavadhā,dhā
pratyavaBAz,BAz,,pratyavabhāṣ,bhāṣ
pratyavaBuj,Buj,1,pratyavabhuj,bhuj
pratyavamfS,mfS,,pratyavamṛś,mṛś
pratyavamfz,mfz,,pratyavamṛṣ,mṛṣ
pratyavaruh,ruh,,pratyavaruh,ruh
pratyavasad,sad,,pratyavasad,sad
pratyavasfj,sfj,,pratyavasṛj,sṛj
pratyavasfp,sfp,,pratyavasṛp,sṛp
pratyavaso,so,,pratyavaso,so
pratyavasTA,sTA,,pratyavasthā,sthā
pratyavahan,han,,pratyavahan,han
pratyavAp,Ap,,pratyavāp,āp
pratyave,i,,pratyave,i
pratyavekz,Ikz,,pratyavekṣ,īkṣ
pratyas,as,1,pratyas,as
pratyas,as,2,pratyas,as
pratyAkANkz,kANkz,,pratyākāṅkṣ,kāṅkṣ
pratyAkfz,kfz,,pratyākṛṣ,kṛṣ
pratyAkram,kram,,pratyākram,kram
pratyAkruS,kruS,,pratyākruś,kruś
pratyAKyA,KyA,,pratyākhyā,khyā
pratyAgam,gam,,pratyāgam,gam
pratyAgF,gF,,pratyāgṝ,gṝ
pratyAcakz,cakz,,pratyācakṣ,cakṣ
pratyAjan,jan,,pratyājan,jan
pratyAtan,tan,,pratyātan,tan
pratyAdA,dA,,pratyādā,dā
pratyAdiS,diS,,pratyādiś,diś
pratyAdf,df,,pratyādṛ,dṛ
pratyAdru,dru,,pratyādru,dru
pratyAnah,nah,,pratyānah,nah
pratyAnI,nI,,pratyānī,nī
pratyAbrU,brU,,pratyābrū,brū
pratyABU,BU,,pratyābhū,bhū
pratyAyA,yA,,pratyāyā,yā
pratyAlaB,laB,,pratyālabh,labh
pratyAliNg,liNg,,pratyāliṅg,liṅg
pratyAlI,lI,,pratyālī,lī
pratyAvap,vap,2,pratyāvap,vap
pratyAvft,vft,,pratyāvṛt,vṛt
pratyAvraj,vraj,,pratyāvraj,vraj
pratyASaMs,SaMs,,pratyāśaṃs,śaṃs
pratyASI,SI,,pratyāśī,śī
pratyASvas,Svas,,pratyāśvas,śvas
pratyAs,As,,pratyās,ās
pratyAsad,sad,,pratyāsad,sad
pratyAsev,sev,,pratyāsev,sev
pratyAsTA,sTA,,pratyāsthā,sthā
pratyAhan,han,,pratyāhan,han
pratyAhf,hf,,pratyāhṛ,hṛ
pratyAhve,hve,,pratyāhve,hve
pratyukz,ukz,,pratyukṣ,ukṣ
pratyuccar,car,,pratyuccar,car
pratyucCri,Sri,,pratyucchri,śri
pratyujjIv,jIv,,pratyujjīv,jīv
pratyuttamB,stamB,,pratyuttambh,stambh
pratyutTA,sTA,,pratyutthā,sthā
pratyutpA,pA,5,pratyutpā,pā
pratyutsad,sad,,pratyutsad,sad
pratyudAvraj,vraj,,pratyudāvraj,vraj
pratyudAhf,hf,,pratyudāhṛ,hṛ
pratyudi,i,,pratyudi,i
pratyudIkz,Ikz,,pratyudīkṣ,īkṣ
pratyudgam,gam,,pratyudgam,gam
pratyudgrah,grah,,pratyudgrah,grah
pratyuddIp,dIp,,pratyuddīp,dīp
pratyudyam,yam,,pratyudyam,yam
pratyudyA,yA,,pratyudyā,yā
pratyudvraj,vraj,,pratyudvraj,vraj
pratyunmiz,miz,,pratyunmiṣ,miṣ
pratyupakf,kf,,pratyupakṛ,kṛ
pratyupakram,kram,,pratyupakram,kram
pratyupagam,gam,,pratyupagam,gam
pratyupadiS,diS,,pratyupadiś,diś
pratyupadru,dru,,pratyupadru,dru
pratyupaDA,DA,1,pratyupadhā,dhā
pratyupaBuj,Buj,2,pratyupabhuj,bhuj
pratyupayA,yA,,pratyupayā,yā
pratyupaviS,viS,,pratyupaviś,viś
pratyupavraj,vraj,,pratyupavraj,vraj
pratyupasf,sf,,pratyupasṛ,sṛ
pratyupasTA,sTA,,pratyupasthā,sthā
pratyupaspfS,spfS,,pratyupaspṛś,spṛś
pratyupahve,hve,,pratyupahve,hve
pratyupADA,DA,1,pratyupādhā,dhā
pratyupAhf,hf,,pratyupāhṛ,hṛ
pratyupe,i,,pratyupe,i
pratyuz,uz,,pratyuṣ,uṣ
pratyUh,Uh,,pratyūh,ūh
pratye,i,,pratye,i
pratyez,Iz,,pratyeṣ,īṣ
pratras,tras,,pratras,tras
pratvakz,tvakz,,pratvakṣ,tvakṣ
pratvar,tvar,,pratvar,tvar
pradakziRIkf,kf,,pradakṣiṇīkṛ,kṛ
pradas,das,,pradas,das
pradah,dah,,pradah,dah
pradA,dA,1,pradā,dā
pradiS,diS,,pradiś,diś
pradih,dih,,pradih,dih
pradIp,dIp,,pradīp,dīp
pradu,du,2,pradu,du
praduz,duz,,praduṣ,duṣ
pradF,dF,,pradṝ,dṝ
pradyut,dyut,1,pradyut,dyut
pradru,dru,,pradru,dru
pradrek,drek,,pradrek,drek
pradviz,dviz,,pradviṣ,dviṣ
praDA,DA,1,pradhā,dhā
praDAv,DAv,1,pradhāv,dhāv
praDAv,DAv,2,pradhāv,dhāv
praDU,DU,,pradhū,dhū
praDf,Df,,pradhṛ,dhṛ
praDfz,Dfz,,pradhṛṣ,dhṛṣ
praDmA,DmA,,pradhmā,dhmā
praDyE,DyE,,pradhyai,dhyai
praDraj,Draj,,pradhraj,dhraj
praDvaMs,DvaMs,,pradhvaṃs,dhvaṃs
praDvan,Dvan,,pradhvan,dhvan
pranakz,nakz,,pranakṣ,nakṣ
pranaB,naB,,pranabh,nabh
pranard,nard,,pranard,nard
praniBid,Bid,,pranibhid,bhid
pranirakz,rakz,,pranirakṣ,rakṣ
pranft,nft,,pranṛt,nṛt
prapac,pac,2,prapac,pac
prapaW,paW,,prapaṭh,paṭh
prapat,pat,,prapat,pat
prapad,pad,2,prapad,pad
prapaS,paS,,prapaś,paś
prapA,pA,1,prapā,pā
prapA,pA,3,prapā,pā
prapinv,pinv,,prapinv,pinv
prapiz,piz,,prapiṣ,piṣ
prapIq,pIq,,prapīḍ,pīḍ
prapuz,puz,,prapuṣ,puṣ
prapUj,pUj,,prapūj,pūj
prapfc,pfc,,prapṛc,pṛc
prapF,pF,,prapṝ,pṝ
prapyE,pyE,,prapyai,pyai
praprajan,jan,,praprajan,jan
praprapF,pF,,praprapṝ,pṝ
praprarz,fz,,praprarṣ,ṛṣ
prapravI,vI,,prapravī,vī
praprasTA,sTA,,praprasthā,sthā
praprAs,as,,praprās,as
prapruT,pruT,,prapruth,pruth
prapre,i,,prapre,i
praplu,plu,,praplu,plu
prabanD,banD,,prabandh,bandh
prabalIBU,BU,,prabalībhū,bhū
prabAD,bAD,,prabādh,bādh
prabuD,buD,,prabudh,budh
prabrU,brU,,prabrū,brū
praBaj,Baj,,prabhaj,bhaj
praBaYj,BaYj,,prabhañj,bhañj
praBA,BA,1,prabhā,bhā
praBAz,BAz,,prabhāṣ,bhāṣ
praBAs,BAs,,prabhās,bhās
praBid,Bid,,prabhid,bhid
praBU,BU,,prabhū,bhū
praBUz,BUz,,prabhūṣ,bhūṣ
praBf,Bf,,prabhṛ,bhṛ
praBraMS,BraMS,,prabhraṃś,bhraṃś
praBram,Bram,,prabhram,bhram
praBrAj,BrAj,,prabhrāj,bhrāj
pramajj,majj,,pramajj,majj
pramaT,maT,,pramath,math
pramad,mad,,pramad,mad
praman,man,,praman,man
pramanT,maT,,pramanth,math
pramand,mand,,pramand,mand
pramA,mA,,pramā,mā
prami,mi,1,prami,mi
pramid,mid,,pramid,mid
pramih,mih,,pramih,mih
pramI,mI,,pramī,mī
pramIl,mIl,,pramīl,mīl
pramIv,mIv,,pramīv,mīv
pramuc,muc,,pramuc,muc
pramud,mud,,pramud,mud
pramurC,murC,,pramurch,murch
pramuz,muz,,pramuṣ,muṣ
pramuh,muh,,pramuh,muh
pramf,mf,,pramṛ,mṛ
pramfj,mfj,,pramṛj,mṛj
pramfR,mfR,,pramṛṇ,mṛṇ
pramfd,mfd,,pramṛd,mṛd
pramfS,mfS,,pramṛś,mṛś
pramF,mF,,pramṝ,mṝ
pramlAnIBU,BU,,pramlānībhū,bhū
pramluc,mluc,,pramluc,mluc
pramlE,mlE,,pramlai,mlai
prayakz,yakz,,prayakṣ,yakṣ
prayaj,yaj,,prayaj,yaj
prayat,yat,,prayat,yat
prayaB,yaB,,prayabh,yabh
prayam,yam,,prayam,yam
prayas,yas,,prayas,yas
prayA,yA,,prayā,yā
prayAc,yAc,,prayāc,yāc
prayu,yu,2,prayu,yu
prayuC,yuC,,prayuch,yuch
prayuj,yuj,,prayuj,yuj
prayuD,yuD,,prayudh,yudh
prarakz,rakz,,prarakṣ,rakṣ
prarad,rad,,prarad,rad
prarap,rap,,prarap,rap
prarapS,rapS,,prarapś,rapś
praram,ram,,praram,ram
praric,ric,,praric,ric
prarI,rI,,prarī,rī
praru,ru,,praru,ru
praruc,ruc,,praruc,ruc
praruj,ruj,,praruj,ruj
prarud,rud,,prarud,rud
praruD,ruD,,prarudh,rudh
praruh,ruh,,praruh,ruh
prarUp,rUp,,prarūp,rūp
prarej,rej,,prarej,rej
pralap,lap,,pralap,lap
pralaB,laB,,pralabh,labh
pralamb,lamb,,pralamb,lamb
praliK,liK,,pralikh,likh
pralip,lip,,pralip,lip
pralih,lih,,pralih,lih
pralI,lI,,pralī,lī
praluW,luW,,praluṭh,luṭh
pralup,lup,,pralup,lup
praluB,luB,,pralubh,lubh
pralU,lU,,pralū,lū
pravac,vac,,pravac,vac
pravad,vad,,pravad,vad
pravan,van,,pravan,van
pravap,vap,1,pravap,vap
pravap,vap,2,pravap,vap
pravarR,varR,,pravarṇ,varṇ
pravalg,valg,,pravalg,valg
pravalh,valh,,pravalh,valh
pravas,vas,4,pravas,vas
pravas,vas,5,pravas,vas
pravah,vah,,pravah,vah
pravA,vA,,pravā,vā
pravAS,vAS,,pravāś,vāś
pravAh,vAh,,pravāh,vāh
pravikas,kas,,pravikas,kas
pravikF,kF,,pravikṝ,kṝ
pravigal,gal,,pravigal,gal
pravigAh,gAh,,pravigāh,gāh
praviGaw,Gaw,,pravighaṭ,ghaṭ
pravicakz,cakz,,pravicakṣ,cakṣ
pravicar,car,,pravicar,car
pravical,cal,,pravical,cal
pravici,ci,2,pravici,ci
pravicint,cint,,pravicint,cint
pravicezw,cezw,,praviceṣṭ,ceṣṭ
pravij,vij,,pravij,vij
pravijfmB,jfmB,,pravijṛmbh,jṛmbh
pravijYA,jYA,,pravijñā,jñā
pravid,vid,1,pravid,vid
pravid,vid,3,pravid,vid
praviduh,duh,,praviduh,duh
praviDA,DA,1,pravidhā,dhā
pravinaS,naS,2,pravinaś,naś
praviBaj,Baj,,pravibhaj,bhaj
praviBuj,Buj,1,pravibhuj,bhuj
pravimuc,muc,,pravimuc,muc
pravilaB,laB,,pravilabh,labh
pravilamb,lamb,,pravilamb,lamb
pravilas,las,,pravilas,las
pravilI,lI,,pravilī,lī
pravilok,lok,,pravilok,lok
praviS,viS,,praviś,viś
praviSiz,Siz,,praviśiṣ,śiṣ
pravistf,stf,,pravistṛ,stṛ
pravihA,hA,3,pravihā,hā
pravI,vI,,pravī,vī
pravf,vf,1,pravṛ,vṛ
pravf,vf,2,pravṛ,vṛ
pravfj,vfj,,pravṛj,vṛj
pravft,vft,,pravṛt,vṛt
pravfD,vfD,,pravṛdh,vṛdh
pravfz,vfz,,pravṛṣ,vṛṣ
pravfh,vfh,,pravṛh,vṛh
prave,ve,,prave,ve
pravep,vep,,pravep,vep
pravyaT,vyaT,,pravyath,vyath
pravyaD,vyaD,,pravyadh,vyadh
pravyas,as,2,pravyas,as
pravyAhf,hf,,pravyāhṛ,hṛ
pravraj,vraj,,pravraj,vraj
pravraSc,vraSc,,pravraśc,vraśc
pravlI,vlI,,pravlī,vlī
praSaMs,SaMs,,praśaṃs,śaṃs
praSak,Sak,,praśak,śak
praSam,Sam,,praśam,śam
praSAs,SAs,,praśās,śās
praSI,SI,,praśī,śī
praSuc,Suc,,praśuc,śuc
praSuB,SuB,,praśubh,śubh
praSuz,Suz,,praśuṣ,śuṣ
praSF,SF,,praśṝ,śṝ
praScut,Scut,,praścut,ścut
praSri,Sri,,praśri,śri
praSru,Sru,,praśru,śru
praSvas,Svas,,praśvas,śvas
prazWiv,zWiv,,praṣṭhiv,ṣṭhiv
prasaMKyA,KyA,,prasaṃkhyā,khyā
prasaMcakz,cakz,,prasaṃcakṣ,cakṣ
prasaMDA,DA,,prasaṃdhā,dhā
prasac,sac,,prasac,sac
prasaYj,saYj,,prasañj,sañj
prasad,sad,,prasad,sad
prasan,san,,prasan,san
prasamIkz,Ikz,,prasamīkṣ,īkṣ
prasah,sah,,prasah,sah
prasi,si,1,prasi,si
prasic,sic,,prasic,sic
prasiD,siD,2,prasidh,sidh
prasiD,siD,3,prasidh,sidh
prasiv,siv,,prasiv,siv
prasU,sU,1,prasū,sū
prasU,sU,2,prasū,sū
prasUc,sUc,,prasūc,sūc
prasf,sf,,prasṛ,sṛ
prasfj,sfj,,prasṛj,sṛj
prasfp,sfp,,prasṛp,sṛp
praskand,skand,,praskand,skand
prasKal,sKal,,praskhal,skhal
prastu,stu,,prastu,stu
prastuB,stuB,,prastubh,stubh
prastump,tump,,prastump,tump
prastf,stf,,prastṛ,stṛ
prasTA,sTA,,prasthā,sthā
prasnA,snA,,prasnā,snā
prasnu,snu,,prasnu,snu
praspand,spand,,praspand,spand
prasparD,sparD,,praspardh,spardh
prasPuw,sPuw,,prasphuṭ,sphuṭ
prasPur,sPur,,prasphur,sphur
prasmi,smi,,prasmi,smi
prasmf,smf,,prasmṛ,smṛ
prasyand,syand,,prasyand,syand
prasraMs,sraMs,,prasraṃs,sraṃs
prasru,sru,,prasru,sru
prasvap,svap,,prasvap,svap
prasvid,svid,,prasvid,svid
prasvf,svf,,prasvṛ,svṛ
prahan,han,,prahan,han
prahas,has,,prahas,has
prahA,hA,2,prahā,hā
prahA,hA,3,prahā,hā
prahi,hi,,prahi,hi
prahu,hu,,prahu,hu
prahf,hf,,prahṛ,hṛ
prahfz,hfz,,prahṛṣ,hṛṣ
prahlAd,hlAd,,prahlād,hlād
prahval,hval,,prahval,hval
prahve,hve,,prahve,hve
prAkf,kf,,prākṛ,kṛ
prAR,an,,prāṇ,an
prAd,ad,,prād,ad
prAdA,dA,,prādā,dā
prAdru,dru,,prādru,dru
prADI,i,,prādhī,i
prAn,an,,prān,an
prAp,Ap,,prāp,āp
prABiRI,nI,,prābhiṇī,nī
prAyA,yA,,prāyā,yā
prAyuD,yuD,,prāyudh,yudh
prAr,f,,prār,ṛ
prAraB,raB,,prārabh,rabh
prAruh,ruh,,prāruh,ruh
prArc,arc,,prārc,arc
prArC,fC,,prārch,ṛch
prArj,fj,,prārj,ṛj
prArYj,fYj,,prārñj,ṛñj
prArT,arT,,prārth,arth
prArd,ard,,prārd,ard
prArD,fD,,prārdh,ṛdh
prArz,fz,,prārṣ,ṛṣ
prArh,arh,,prārh,arh
prAv,av,,prāv,av
prAvanij,nij,,prāvanij,nij
prAvaso,so,,prāvaso,so
prAviS,viS,,prāviś,viś
prAvf,vf,,prāvṛ,vṛ
prAS,aS,,prāś,aś
prAS,aS,,prāś,aś
prASvas,Svas,,prāśvas,śvas
prAs,as,,prās,as
prAs,as,,prās,as
prAh,ah,,prāh,ah
priyAkf,kf,,priyākṛ,kṛ
priyAmuKIBU,BU,,priyāmukhībhū,bhū
pre,i,,pre,i
prekz,Ikz,,prekṣ,īkṣ
preNK,INK,,preṅkh,īṅkh
preq,Iq,,preḍ,īḍ
prenv,inv,,prenv,inv
premarASIBU,BU,,premarāśībhū,bhū
prer,Ir,,prer,īr
prez,iz,,preṣ,iṣ
prED,eD,,praidh,edh
prokz,ukz,,prokṣ,ukṣ
proccar,car,,proccar,car
proccal,cal,,proccal,cal
procCal,Sal,,procchal,śal
procCvas,Svas,,procchvas,śvas
projjval,jval,,projjval,jval
projJ,ujJ,,projjh,ujjh
proYC,uYC,,proñch,uñch
proqqI,qI,,proḍḍī,ḍī
protkUj,kUj,,protkūj,kūj
protKan,Kan,,protkhan,khan
protKE,KE,,protkhai,khai
prottF,tF,,prottṝ,tṝ
protTA,sTA,,protthā,sthā
protpat,pat,,protpat,pat
protpad,pad,,protpad,pad
protsad,sad,,protsad,sad
protsah,sah,,protsah,sah
protsf,sf,,protsṛ,sṛ
protsfj,sfj,,protsṛj,sṛj
protsfp,sfp,,protsṛp,sṛp
prodi,i,,prodi,i
prodDA,hA,,proddhā,hā
prodDf,hf,,proddhṛ,hṛ
prodyam,yam,,prodyam,yam
prodvah,vah,,prodvah,vah
prodvij,vij,,prodvij,vij
pronnad,nad,,pronnad,nad
pronnam,nam,,pronnam,nam
pronnI,nI,,pronnī,nī
pronmaT,maT,,pronmath,math
pronmad,mad,,pronmad,mad
pronmIl,mIl,,pronmīl,mīl
proB,uB,,probh,ubh
prorRu,UrRu,,prorṇu,ūrṇu
prollaNG,laNG,,prollaṅgh,laṅgh
prollas,las,,prollas,las
prolliK,liK,,prollikh,likh
proh,Uh,,proh,ūh
prOQIBU,BU,,prauḍhībhū,bhū
PalIkf,kf,,phalīkṛ,kṛ
PalIBU,BU,,phalībhū,bhū
Putkf,kf,,phutkṛ,kṛ
baDirIkf,kf,,badhirīkṛ,kṛ
bahalIBU,BU,,bahalībhū,bhū
bahulIBU,BU,,bahulībhū,bhū
bIjAkf,kf,,bījākṛ,kṛ
brAhmaRIBU,BU,,brāhmaṇībhū,bhū
BadrAkf,kf,,bhadrākṛ,kṛ
BasmAkf,kf,,bhasmākṛ,kṛ
BasmIkf,kf,,bhasmīkṛ,kṛ
BasmIBU,BU,,bhasmībhū,bhū
BAgIkf,kf,,bhāgīkṛ,kṛ
BAvayatIBU,BU,,bhāvayatībhū,bhū
BImaBavIBU,BU,,bhīmabhavībhū,bhū
BftyIBU,BU,,bhṛtyībhū,bhū
BfSIBU,BU,,bhṛśībhū,bhū
maYjarIkf,kf,,mañjarīkṛ,kṛ
matIkf,kf,,matīkṛ,kṛ
madBU,BU,,madbhū,bhū
madrAkf,kf,,madrākṛ,kṛ
manIkf,kf,,manīkṛ,kṛ
manujIkf,kf,,manujīkṛ,kṛ
mantravaSIkf,kf,,mantravaśīkṛ,kṛ
mandIkf,kf,,mandīkṛ,kṛ
mandIBU,BU,,mandībhū,bhū
mayUrIBU,BU,,mayūrībhū,bhū
marUBU,BU,,marūbhū,bhū
martyIBU,BU,,martyībhū,bhū
maryAdIkf,kf,,maryādīkṛ,kṛ
malinIkf,kf,,malinīkṛ,kṛ
malinIBU,BU,,malinībhū,bhū
mazmazAkf,kf,,maṣmaṣākṛ,kṛ
mahIkf,kf,,mahīkṛ,kṛ
mAYjizWIkf,kf,,māñjiṣṭhīkṛ,kṛ
mAtrIkf,kf,,mātrīkṛ,kṛ
mAnuzIBU,BU,,mānuṣībhū,bhū
mArdavIkf,kf,,mārdavīkṛ,kṛ
mAsIkf,kf,,māsīkṛ,kṛ
mitrIkf,kf,,mitrīkṛ,kṛ
mitrIBU,BU,,mitrībhū,bhū
miTunIkf,kf,,mithunīkṛ,kṛ
miTunIBU,BU,,mithunībhū,bhū
miSrIkf,kf,,miśrīkṛ,kṛ
miSrIBU,BU,,miśrībhū,bhū
mukulIkf,kf,,mukulīkṛ,kṛ
muKarIkf,kf,1,mukharīkṛ,kṛ
muYjIkf,kf,,muñjīkṛ,kṛ
muzwIkf,kf,,muṣṭīkṛ,kṛ
musalIBU,BU,,musalībhū,bhū
mUkIkf,kf,,mūkīkṛ,kṛ
mUrKIBU,BU,,mūrkhībhū,bhū
mUlIkf,kf,,mūlīkṛ,kṛ
mfdUas,as,,mṛdūas,as
mfdUBU,BU,,mṛdūbhū,bhū
meKalIkf,kf,1,mekhalīkṛ,kṛ
moGIkf,kf,,moghīkṛ,kṛ
yAnIkf,kf,,yānīkṛ,kṛ
yUTIkf,kf,1,yūthīkṛ,kṛ
yUpIkf,kf,1,yūpīkṛ,kṛ
rajIkf,kf,,rajīkṛ,kṛ
rajjUkf,kf,,rajjūkṛ,kṛ
rahIkf,kf,,rahīkṛ,kṛ
rahIBU,BU,,rahībhū,bhū
rAjamArgIkf,kf,,rājamārgīkṛ,kṛ
rASIkf,kf,,rāśīkṛ,kṛ
rASIBU,BU,,rāśībhū,bhū
riktIkf,kf,,riktīkṛ,kṛ
rUpIkf,kf,,rūpīkṛ,kṛ
rEkf,kf,,raikṛ,kṛ
lakzIkf,kf,,lakṣīkṛ,kṛ
