prefixed_root,unprefixed_root,hom,prefixed_root_IAST,unprefixed_root_IAST
aByart,art,,abhyart,art
aByarT,arT,,abhyarth,arth
aByavanij,nij,,abhyavanij,nij
aByavavft,vft,,abhyavavṛt,vṛt
aByavAs,as,,abhyavās,as
aByave,i,,abhyave,i
aByavekz,Ikz,,abhyavekṣ,īkṣ
aByaS,aS,1,abhyaś,aś
aByas,as,2,abhyas,as
aByAj,aj,,abhyāj,aj
aByAtan,tan,,abhyātan,tan
aByAdA,dA,1,abhyādā,dā
aByAp,Ap,,abhyāp,āp
aByAyam,yam,,abhyāyam,yam
aByAyu,yu,2,abhyāyu,yu
aByAraB,raB,,abhyārabh,rabh
aByAviS,viS,,abhyāviś,viś
aByAvft,vft,,abhyāvṛt,vṛt
aByAhan,han,,abhyāhan,han
aByukz,ukz,1,abhyukṣ,ukṣ
aByutkram,kram,,abhyutkram,kram
aByutTA,sTA,,abhyutthā,sthā
aByudIkz,Ikz,,abhyudīkṣ,īkṣ
aByude,i,,abhyude,i
aByudDA,hA,,abhyuddhā,hā
aByudDf,hf,,abhyuddhṛ,hṛ
aByupaDA,DA,,abhyupadhā,dhā
aByupapad,pad,,abhyupapad,pad
aByupAvft,vft,,abhyupāvṛt,vṛt
aByupe,i,,abhyupe,i
aByupekz,Ikz,,abhyupekṣ,īkṣ
aByUrRu,UrRu,,abhyūrṇu,ūrṇu
aByUh,Uh,2,abhyūh,ūh
aByfYj,fYj,,abhyṛñj,ṛñj
aBye,i,,abhye,i
avakAS,kAS,,avakāś,kāś
avakfz,kfz,,avakṛṣ,kṛṣ
avakF,kF,,avakṝ,kṝ
avakrI,krI,,avakrī,krī
avakrIq,krIq,,avakrīḍ,krīḍ
avagam,gam,,avagam,gam
avagF,gF,,avagṝ,gṝ
avacakz,cakz,,avacakṣ,cakṣ
avacCad,Cad,,avacchad,chad
avacCid,Cid,,avacchid,chid
avacCo,Co,,avaccho,cho
avajfmB,jfmB,,avajṛmbh,jṛmbh
avatan,tan,,avatan,tan
avatF,tF,,avatṝ,tṝ
avadih,dih,,avadih,dih
avaduh,duh,,avaduh,duh
avado,do,,avado,do
avaDA,DA,,avadhā,dhā
avaDU,DU,,avadhū,dhū
avaDvaMs,DvaMs,,avadhvaṃs,dhvaṃs
avanam,nam,,avanam,nam
avanij,nij,,avanij,nij
avanu,nu,,avanu,nu
avapad,pad,,avapad,pad
avapaS,paS,,avapaś,paś
avaplu,plu,,avaplu,plu
avabanD,banD,,avabandh,bandh
avabAD,bAD,,avabādh,bādh
avabuD,buD,,avabudh,budh
avaBAs,BAs,,avabhās,bhās
avaBf,Bf,,avabhṛ,bhṛ
avaman,man,,avaman,man
avamuc,muc,,avamuc,muc
avamfj,mfj,,avamṛj,mṛj
avayaj,yaj,,avayaj,yaj
avaruD,ruD,,avarudh,rudh
avaruh,ruh,,avaruh,ruh
avalamb,lamb,,avalamb,lamb
avalip,lip,,avalip,lip
avalih,lih,,avalih,lih
avalI,lI,,avalī,lī
avalup,lup,,avalup,lup
avalok,lok,,avalok,lok
avaSI,SI,,avaśī,śī
avaSfD,SfD,,avaśṛdh,śṛdh
avazwamB,stamB,,avaṣṭambh,stambh
avazvan,svan,,avaṣvan,svan
avasaYj,saYj,,avasañj,sañj
avasad,sad,,avasad,sad
avasfj,sfj,,avasṛj,sṛj
avaskF,kF,,avaskṝ,kṝ
avastF,stF,,avastṝ,stṝ
avasTA,sTA,,avasthā,sthā
avasmi,smi,,avasmi,smi
avasyand,syand,,avasyand,syand
avasraMs,sraMs,,avasraṃs,sraṃs
avahan,han,,avahan,han
avahf,hf,,avahṛ,hṛ
avahve,hve,,avahve,hve
avAloc,loc,,avāloc,loc
ave,i,,ave,i
avekz,Ikz,,avekṣ,īkṣ
aSraddaDAna,DA,,aśraddadhāna,dhā
Akac,kac,,ākac,kac
Akamp,kamp,,ākamp,kamp
AkA,kA,,ākā,kā
AkANkz,kANkz,,ākāṅkṣ,kāṅkṣ
AkU,kU,,ākū,kū
Akf,kf,,ākṛ,kṛ
Akrand,krand,,ākrand,krand
Akram,kram,,ākram,kram
AkrIq,krIq,,ākrīḍ,krīḍ
Akzi,kzi,,ākṣi,kṣi
AKAd,KAd,,ākhād,khād
AKid,Kid,,ākhid,khid
AKyA,KyA,,ākhyā,khyā
Agam,gam,,āgam,gam
Agur,gur,,āgur,gur
AgE,gE,,āgai,gai
AgranT,granT,,āgranth,granth
Agrah,grah,,āgrah,grah
AGuz,Guz,,āghuṣ,ghuṣ
AGrA,GrA,,āghrā,ghrā
Ac,ac,,āc,ac
Acakz,cakz,,ācakṣ,cakṣ
Aci,ci,1,āci,ci
Acit,cit,,ācit,cit
AcCad,Cad,,ācchad,chad
AcCid,Cid,,ācchid,chid
AcCfd,Cfd,,ācchṛd,chṛd
AcCo,Co,,āccho,cho
Acyu,cyu,,ācyu,cyu
Aj,aj,,āj,aj
Ajan,jan,,ājan,jan
AjIv,jIv,,ājīv,jīv
AYc,aYc,,āñc,añc
AYj,aYj,,āñj,añj
Aqval,wval,,āḍval,ṭval
AtaMs,taMs,,ātaṃs,taṃs
Atan,tan,,ātan,tan
Atam,tam,,ātam,tam
Atfd,tfd,,ātṛd,tṛd
Atfp,tfp,,ātṛp,tṛp
AtF,tF,,ātṝ,tṝ
AdaG,daG,,ādagh,dagh
AdaB,daB,,ādabh,dabh
AdA,dA,1,ādā,dā
AdA,dA,4,ādā,dā
AdiS,diS,,ādiś,diś
AdIp,dIp,,ādīp,dīp
Adu,du,1,ādu,du
Aduh,duh,,āduh,duh
Adf,df,,ādṛ,dṛ
AdfS,dfS,,ādṛś,dṛś
AdF,dF,,ādṝ,dṝ
AdE,dE,,ādai,dai
Ado,do,,ādo,do
Adyut,dyut,2,ādyut,dyut
Adru,dru,1,ādru,dru
ADA,DA,,ādhā,dhā
ADAv,DAv,,ādhāv,dhāv
ADI,DI,,ādhī,dhī
ADu,Du,,ādhu,dhu
ADU,DU,,ādhū,dhū
ADf,Df,,ādhṛ,dhṛ
ADfz,Dfz,,ādhṛṣ,dhṛṣ
ADmA,DmA,,ādhmā,dhmā
ADyE,DyE,,ādhyai,dhyai
Anad,nad,,ānad,nad
Anand,nand,,ānand,nand
Anam,nam,,ānam,nam
Anah,nah,,ānah,nah
AnI,nI,,ānī,nī
Anu,nu,4,ānu,nu
Anft,nft,,ānṛt,nṛt
Ap,Ap,,āp,āp
Apat,pat,1,āpat,pat
Apad,pad,,āpad,pad
Apan,pan,,āpan,pan
ApaS,paS,,āpaś,paś
ApA,pA,1,āpā,pā
ApiS,piS,,āpiś,piś
Apiz,piz,,āpiṣ,piṣ
ApU,pU,,āpū,pū
ApUy,pUy,,āpūy,pūy
Apf,pf,1,āpṛ,pṛ
Apf,pf,2,āpṛ,pṛ
Apfc,pfc,,āpṛc,pṛc
ApF,pF,,āpṝ,pṝ
ApyE,pyE,,āpyai,pyai
ApraC,praC,,āprach,prach
ApratI,i,,āpratī,i
Aprayam,yam,,āprayam,yam
AprA,prA,,āprā,prā
AprI,prI,,āprī,prī
Apru,pru,,āpru,pru
Aplu,plu,,āplu,plu
AbanD,banD,,ābandh,bandh
AbAD,bAD,,ābādh,bādh
AbuD,buD,,ābudh,budh
Abfh,bfh,,ābṛh,bṛh
AbrU,brU,,ābrū,brū
ABaj,Baj,,ābhaj,bhaj
ABA,BA,,ābhā,bhā
ABAz,BAz,,ābhāṣ,bhāṣ
ABAs,BAs,,ābhās,bhās
ABuj,Buj,1,ābhuj,bhuj
ABUz,BUz,,ābhūṣ,bhūṣ
ABf,Bf,,ābhṛ,bhṛ
AmaT,maT,,āmath,math
Aman,man,,āman,man
Amantr,mantr,,āmantr,mantr
Amah,mah,,āmah,mah
AmA,mA,2,āmā,mā
AmI,mI,,āmī,mī
AmIl,mIl,,āmīl,mīl
AmIv,mIv,,āmīv,mīv
Amuc,muc,,āmuc,muc
Amuz,muz,,āmuṣ,muṣ
Amfj,mfj,,āmṛj,mṛj
Amfd,mfd,,āmṛd,mṛd
AmfS,mfS,,āmṛś,mṛś
Amfz,mfz,,āmṛṣ,mṛṣ
AmnA,mnA,,āmnā,mnā
Amyakz,myakz,,āmyakṣ,myakṣ
Amreq,mreq,,āmreḍ,mreḍ
Ayaj,yaj,,āyaj,yaj
Ayat,yat,,āyat,yat
Ayam,yam,,āyam,yam
Ayas,yas,,āyas,yas
AyA,yA,,āyā,yā
AyAc,yAc,,āyāc,yāc
Ayu,yu,2,āyu,yu
Ayuj,yuj,,āyuj,yuj
AyuD,yuD,,āyudh,yudh
Ayup,yup,,āyup,yup
Arakz,rakz,,ārakṣ,rakṣ
Araw,raw,,āraṭ,raṭ
Arap,rap,,ārap,rap
AraB,raB,,ārabh,rabh
Aram,ram,,āram,ram
Aras,ras,1,āras,ras
ArAD,rAD,,ārādh,rādh
Aric,ric,,āric,ric
AriP,riP,,āriph,riph
AriS,riS,,āriś,riś
Arih,rih,,ārih,rih
ArI,rI,,ārī,rī
Aru,ru,1,āru,ru
Aruc,ruc,,āruc,ruc
Aruj,ruj,,āruj,ruj
