form,root,pos,modification,form_IAST,root_IAST
cumbitvA,cumb,gerund,,cumbitvā,cumb
curayitvA,cur,gerund,,curayitvā,cur
cUrRayitvA,cUrRa,gerund,,cūrṇayitvā,cūrṇa
cUzwvA,cUz,gerund,,cūṣṭvā,cūṣ
cetayitvA,cit#1,gerund,caus,cetayitvā,cit#1
cezwayitvA,cezw,gerund,caus,ceṣṭayitvā,ceṣṭ
cezwitvA,cezw,gerund,,ceṣṭitvā,ceṣṭ
codayitvA,cud,gerund,caus,codayitvā,cud
coditvA,cud,gerund,,coditvā,cud
copayitvA,kup,gerund,caus,copayitvā,kup
cyutvA,cyu,gerund,,cyutvā,cyu
CattvA,Cad#1,gerund,,chattvā,chad#1
CandayitvA,Cand,gerund,caus,chandayitvā,chand
CanditvA,Cand,gerund,,chanditvā,chand
CalayitvA,Cala,gerund,,chalayitvā,chala
CAdayitvA,Cad#1,gerund,caus,chādayitvā,chad#1
CittvA,Cid#1,gerund,,chittvā,chid#1
CidrayitvA,Cidra,gerund,,chidrayitvā,chidra
CurayitvA,Cur,gerund,caus,churayitvā,chur
CedayitvA,Cid#1,gerund,caus,chedayitvā,chid#1
jagDvA,jakz,gerund,,jagdhvā,jakṣ
janayitvA,jan,gerund,caus,janayitvā,jan
jantvA,jam,gerund,,jantvā,jam
japtvA,jap,gerund,,japtvā,jap
jabDvA,jaB#1,gerund,,jabdhvā,jabh#1
jabDvA,jaB#2,gerund,,jabdhvā,jabh#2
jamitvA,jam,gerund,,jamitvā,jam
jarayitvA,jF,gerund,caus,jarayitvā,jṝ
jalAyitvA,jala,gerund,,jalāyitvā,jala
jalpitvA,jalp,gerund,,jalpitvā,jalp
jasitvA,jas,gerund,,jasitvā,jas
jastvA,jas,gerund,,jastvā,jas
jAgarayitvA,jAgf,gerund,caus,jāgarayitvā,jāgṛ
jAgaritvA,jAgf,gerund,,jāgaritvā,jāgṛ
jAtvA,jan,gerund,,jātvā,jan
jApayitvA,ji,gerund,caus,jāpayitvā,ji
jAsayitvA,jas,gerund,caus,jāsayitvā,jas
jigadizitvA,gad,gerund,desid,jigadiṣitvā,gad
jigamizitvA,gam,gerund,desid,jigamiṣitvā,gam
jigIzitvA,ji,gerund,desid,jigīṣitvā,ji
jiGAMsitvA,han#1,gerund,desid,jighāṃsitvā,han#1
jiGfkzitvA,grah,gerund,desid,jighṛkṣitvā,grah
jijIvizitvA,jIv,gerund,desid,jijīviṣitvā,jīv
jijYAsitvA,jYA#1,gerund,desid,jijñāsitvā,jñā#1
jitvA,ji,gerund,,jitvā,ji
jinvitvA,jinv,gerund,,jinvitvā,jinv
jihIrzitvA,hf#1,gerund,desid,jihīrṣitvā,hṛ#1
jItvA,jyA#1,gerund,,jītvā,jyā#1
jIrtvA,jF,gerund,,jīrtvā,jṝ
jIvitvA,jIv,gerund,,jīvitvā,jīv
jugupsitvA,gup,gerund,desid,jugupsitvā,gup
juzwvA,juz#1,gerund,,juṣṭvā,juṣ#1
juhUzitvA,hu,gerund,desid,juhūṣitvā,hu
jUtvA,jU,gerund,,jūtvā,jū
jfmBitvA,jfmB,gerund,,jṛmbhitvā,jṛmbh
jozayitvA,juz#1,gerund,caus,joṣayitvā,juṣ#1
jYapayitvA,jYA#1,gerund,caus,jñapayitvā,jñā#1
jYapitvA,jYA#1,gerund,caus,jñapitvā,jñā#1
jYAtvA,jYA#1,gerund,,jñātvā,jñā#1
jYApayitvA,jYA#1,gerund,caus,jñāpayitvā,jñā#1
jyuttvA,jyut,gerund,,jyuttvā,jyut
jyotayitvA,jyut,gerund,caus,jyotayitvā,jyut
jvartvA,jvar,gerund,,jvartvā,jvar
jvalayitvA,jval,gerund,caus,jvalayitvā,jval
jvalitvA,jval,gerund,,jvalitvā,jval
qambayitvA,qamb,gerund,,ḍambayitvā,ḍamb
qItvA,qI,gerund,,ḍītvā,ḍī
taktvA,tak,gerund,,taktvā,tak
taktvA,taYc,gerund,,taktvā,tañc
takzitvA,takz,gerund,,takṣitvā,takṣ
taYcitvA,taYc,gerund,,tañcitvā,tañc
tatvA,tan#1,gerund,,tatvā,tan#1
tanitvA,tan#1,gerund,,tanitvā,tan#1
tantrayitvA,tantra,gerund,,tantrayitvā,tantra
tantvA,tan#2,gerund,,tantvā,tan#2
tantvA,tam,gerund,,tantvā,tam
tandrayitvA,tandr,gerund,,tandrayitvā,tandr
tapasyitvA,tapas,gerund,,tapasyitvā,tapas
tapitvA,tap,gerund,,tapitvā,tap
taptvA,tap,gerund,,taptvā,tap
tamitvA,tam,gerund,,tamitvā,tam
taruRayitvA,taruRa,gerund,,taruṇayitvā,taruṇa
taruRAyitvA,taruRa,gerund,,taruṇāyitvā,taruṇa
tarkayitvA,tark,gerund,,tarkayitvā,tark
tarjayitvA,tarj,gerund,caus,tarjayitvā,tarj
tarjitvA,tarj,gerund,,tarjitvā,tarj
tarpayitvA,tfp#1,gerund,caus,tarpayitvā,tṛp#1
tarzitvA,tfz,gerund,,tarṣitvā,tṛṣ
tavizIyitvA,taviza,gerund,,taviṣīyitvā,taviṣa
