Root,Class,Derivation,Tense,Voice,Person,Number,Expected (INRIA),Actual (FST)
tan,8 (primary),primary,imperfect,middle,1,pl,atanumahi OR atanmahi,atanumahi
tan,8 (primary),primary,perfect,active,2,sg,tatantha OR tenitha,tatantha
krī,9 (primary),primary,perfect,active,2,sg,cikrayitha OR cikretha,cikrayitha
kṛ,8 (primary),primary,aorist,active,1,sg,akaram OR akāriṣam OR akārṣam,akārṣam
kṛ,8 (primary),primary,aorist,active,1,du,akāriṣva OR akārṣva OR akṛva,akārṣva
kṛ,8 (primary),primary,aorist,active,1,pl,akāriṣma OR akārṣma OR akṛma,akārṣma
kṛ,8 (primary),primary,aorist,active,2,sg,akārīḥ OR akārṣīḥ,akārṣīḥ
kṛ,8 (primary),primary,aorist,active,2,du,akāriṣṭam OR akārṣṭam OR akṛtam,akārṣṭam
kṛ,8 (primary),primary,aorist,active,2,pl,akāriṣṭa OR akārṣṭa,akārṣṭa
kṛ,8 (primary),primary,aorist,active,3,sg,akaḥ OR akārīt OR akārṣīt,akārṣīt
kṛ,8 (primary),primary,aorist,active,3,du,akāriṣṭām OR akārṣṭām OR akṛtām,akārṣṭām
kṛ,8 (primary),primary,aorist,active,3,pl,akāriṣuḥ OR akārṣuḥ OR akran,akārṣuḥ
kṛ,8 (primary),primary,aorist,middle,1,sg,akṛṣi OR akri,akri
kṛ,8 (primary),primary,aorist,middle,1,du,akṛvahi OR akṛṣvahi,akṛvahi
kṛ,8 (primary),primary,aorist,middle,1,pl,akṛmahi OR akṛṣmahi,akṛmahi
kṛ,8 (primary),primary,aorist,middle,2,du,akṛṣāthām OR akrāthām,akrāthām
kṛ,8 (primary),primary,aorist,middle,2,pl,akṛḍhvam OR akṛdhvam,akṛdhvam
kṛ,8 (primary),primary,aorist,middle,3,du,akṛṣātām OR akrātām,akrātām
kṛ,8 (primary),primary,aorist,middle,3,pl,akṛṣata OR akrata,akrata
kṛ,8 (primary),primary,injunctive,middle,1,sg,kṛṣi OR kri,kri
kṛ,8 (primary),primary,injunctive,middle,1,du,kṛvahi OR kṛṣvahi,kṛvahi
kṛ,8 (primary),primary,injunctive,middle,1,pl,kṛmahi OR kṛṣmahi,kṛmahi
kṛ,8 (primary),primary,injunctive,middle,2,du,kṛṣāthām OR krāthām,krāthām
kṛ,8 (primary),primary,injunctive,middle,2,pl,kṛḍhvam OR kṛdhvam,kṛdhvam
kṛ,8 (primary),primary,injunctive,middle,3,du,kṛṣātām OR krātām,krātām
kṛ,8 (primary),primary,injunctive,middle,3,pl,kṛṣata OR krata,krata
kṛ,8 (intensive),intensive,present,active,1,sg,carkarīmi OR carkarmi,carkarmi OR carkarīmi
kṛ,8 (intensive),intensive,present,active,2,sg,carkarīṣi OR carkarṣi,carkarīṣi OR carkarṣi
kṛ,8 (intensive),intensive,present,active,3,sg,carkarīti OR carkarti,carkarti OR carkarīti
kṛ,8 (intensive),intensive,imperfect,active,2,sg,acarkarīt OR acarkarīḥ,acarkarīḥ OR acarkarḥ
kṛ,8 (intensive),intensive,imperative,active,3,sg,carkarītu OR carkartu,carkartu OR carkartāt OR carkarītu OR carkarītāt
budh,1 (primary),primary,aorist,active,1,sg,abodhiṣam OR abhautsam,abhautsam OR abodhiṣam
budh,1 (primary),primary,aorist,active,1,du,abodhiṣva OR abhautsva,abhautsva OR abodhiṣva
budh,1 (primary),primary,aorist,active,1,pl,abodhiṣma OR abhautsma,abhautsma OR abodhiṣma
budh,1 (primary),primary,aorist,active,2,sg,abodhīḥ OR abhautsīḥ,abhautsīḥ OR abodhīḥ
budh,1 (primary),primary,aorist,active,2,du,abodhiṣṭam OR abauddham,abauddham OR abodhiṣṭam
budh,1 (primary),primary,aorist,active,3,sg,abodhīt OR abhautsīt,abhautsīt OR abodhīt
budh,1 (primary),primary,aorist,active,3,du,abodhiṣṭām OR abauddhām,abauddhām OR abodhiṣṭām
budh,1 (primary),primary,aorist,active,3,pl,abodhiṣuḥ OR abhautsuḥ,abhautsuḥ OR abodhiṣuḥ
budh,1 (primary),primary,aorist,middle,1,sg,abodhiṣi OR abhutsi,abhutsi OR abudhiṣi
budh,1 (primary),primary,aorist,middle,1,du,abodhiṣvahi OR abhutsvahi,abhutsvahi OR abudhiṣvahi
budh,1 (primary),primary,aorist,middle,1,pl,abodhiṣmahi OR abhutsmahi,abhutsmahi OR abudhiṣmahi
budh,1 (primary),primary,aorist,middle,2,sg,abuddhāḥ OR abodhiṣṭhāḥ,abuddhhāḥ OR abuddhāḥ OR abudhiṣṭhāḥ
budh,1 (primary),primary,aorist,middle,2,du,abodhiṣāthām OR abhutsāthām,abhutsāthām OR abudhiṣāthām
budh,1 (primary),primary,aorist,middle,2,pl,abuddhvam OR abodhidhvam,abuddhvam OR abudhidhvam
budh,1 (primary),primary,aorist,middle,3,sg,abuddha OR abodhiṣṭa,abuddha OR abudhiṣṭa
budh,1 (primary),primary,aorist,middle,3,du,abodhiṣātām OR abhutsātām,abhutsātām OR abudhiṣātām
budh,1 (primary),primary,aorist,middle,3,pl,abodhiṣata OR abhutsata,abhutsata OR abudhiṣata
budh,1 (desiderative),desiderative,present,active,1,sg,bubhutsāmi OR bubhodhiṣāmi,bubhodhiṣāmi
budh,1 (desiderative),desiderative,present,active,1,du,bubhutsāvaḥ OR bubhodhiṣāvaḥ,bubhodhiṣāvaḥ
budh,1 (desiderative),desiderative,present,active,1,pl,bubhutsāmaḥ OR bubhodhiṣāmaḥ,bubhodhiṣāmaḥ
budh,1 (desiderative),desiderative,imperfect,active,1,du,abubhutsāva OR abubhodhiṣāva,abubhodhiṣāva
budh,1 (desiderative),desiderative,imperfect,active,1,pl,abubhutsāma OR abubhodhiṣāma,abubhodhiṣāma
budh,1 (desiderative),desiderative,imperfect,passive,1,sg,abubhutsye OR abubhodiṣye OR abubhodhiṣye,abubhodhiṣye
budh,1 (desiderative),desiderative,imperfect,passive,1,du,abubhutsyāvahi OR abubhodiṣyāvahi OR abubhodhiṣyāvahi,abubhodhiṣyāvahi
budh,1 (desiderative),desiderative,imperfect,passive,1,pl,abubhutsyāmahi OR abubhodiṣyāmahi OR abubhodhiṣyāmahi,abubhodhiṣyāmahi
budh,1 (desiderative),desiderative,imperfect,passive,2,sg,abubhutsyathāḥ OR abubhodiṣyathāḥ OR abubhodhiṣyathāḥ,abubhodhiṣyathāḥ
budh,1 (desiderative),desiderative,imperfect,passive,2,du,abubhutsyethām OR abubhodiṣyethām OR abubhodhiṣyethām,abubhodhiṣyethām
budh,1 (desiderative),desiderative,imperfect,passive,2,pl,abubhutsyadhvam OR abubhodiṣyadhvam OR abubhodhiṣyadhvam,abubhodhiṣyadhvam
budh,1 (desiderative),desiderative,imperfect,passive,3,sg,abubhutsyata OR abubhodiṣyata OR abubhodhiṣyata,abubhodhiṣyata
budh,1 (desiderative),desiderative,imperfect,passive,3,du,abubhutsyetām OR abubhodiṣyetām OR abubhodhiṣyetām,abubhodhiṣyetām
budh,1 (desiderative),desiderative,imperfect,passive,3,pl,abubhutsyanta OR abubhodiṣyanta OR abubhodhiṣyanta,abubhodhiṣyanta
budh,1 (desiderative),desiderative,imperative,active,1,sg,bubhutsāni OR bubhodhiṣāṇi,bubhodhiṣāṇi
budh,1 (desiderative),desiderative,imperative,active,1,du,bubhutsāva OR bubhodhiṣāva,bubhodhiṣāva
budh,1 (desiderative),desiderative,imperative,active,1,pl,bubhutsāma OR bubhodhiṣāma,bubhodhiṣāma
budh,1 (desiderative),desiderative,imperative,passive,1,sg,bubhutsyai OR bubhodiṣyai OR bubhodhiṣyai,bubhodhiṣyai
budh,1 (desiderative),desiderative,imperative,passive,1,du,bubhutsyāvahai OR bubhodiṣyāvahai OR bubhodhiṣyāvahai,bubhodhiṣyāvahai
budh,1 (desiderative),desiderative,imperative,passive,1,pl,bubhutsyāmahai OR bubhodiṣyāmahai OR bubhodhiṣyāmahai,bubhodhiṣyāmahai
budh,1 (desiderative),desiderative,imperative,passive,2,sg,bubhutsyasva OR bubhodiṣyasva OR bubhodhiṣyasva,bubhodhiṣyasva
budh,1 (desiderative),desiderative,imperative,passive,2,du,bubhutsyethām OR bubhodiṣyethām OR bubhodhiṣyethām,bubhodhiṣyethām
budh,1 (desiderative),desiderative,imperative,passive,2,pl,bubhutsyadhvam OR bubhodiṣyadhvam OR bubhodhiṣyadhvam,bubhodhiṣyadhvam
budh,1 (desiderative),desiderative,imperative,passive,3,sg,bubhutsyatām OR bubhodiṣyatām OR bubhodhiṣyatām,bubhodhiṣyatām
budh,1 (desiderative),desiderative,imperative,passive,3,du,bubhutsyetām OR bubhodiṣyetām OR bubhodhiṣyetām,bubhodhiṣyetām
budh,1 (desiderative),desiderative,imperative,passive,3,pl,bubhutsyantām OR bubhodiṣyantām OR bubhodhiṣyantām,bubhodhiṣyantām
budh,1 (desiderative),desiderative,optative,active,1,sg,bubhutseyam OR bubhodhiṣeyam,bubhodhiṣeyam
budh,1 (desiderative),desiderative,optative,active,1,du,bubhutseva OR bubhodhiṣeva,bubhodhiṣeva
budh,1 (desiderative),desiderative,optative,active,1,pl,bubhutsema OR bubhodhiṣema,bubhodhiṣema
budh,1 (desiderative),desiderative,optative,active,2,sg,bubhutseḥ OR bubhodhiṣeḥ,bubhodhiṣeḥ
